title,service_name,is_cloud
Firebase Extensions API,firebaseextensions.googleapis.com,False
Firebase Hosting API,firebasehosting.googleapis.com,False
Firebase In-App Messaging API,firebaseinappmessaging.googleapis.com,False
Firebase Installations API,firebaseinstallations.googleapis.com,False
Firebase ML API,firebaseml.googleapis.com,False
Firebase Mods API,firebasemods.googleapis.com,False
Firebase Predictions API,firebasepredictions.googleapis.com,False
Firebase Remote Config API,firebaseremoteconfig.googleapis.com,False
Firebase Rules API,firebaserules.googleapis.com,False
Firebase Storage,firebasestorage.googleapis.com,False
Cloud Firestore API,firestore.googleapis.com,True
Firewall Insights API,firewallinsights.googleapis.com,True
Fitness API,fitness.googleapis.com,False
Freebase API,freebase.googleapis.com,False
Fusion Tables API,fusiontables.googleapis.com,False
Google Play Game Services,games.googleapis.com,False
Google Play Game Services Publishing API,gamesconfiguration.googleapis.com,False
Game Services API,gameservices.googleapis.com,True
Google Play Game Management,gamesmanagement.googleapis.com,False
Redis Enterprise,gcp.redisenterprise.com,False
Genomics API,genomics.googleapis.com,True
Geocoding API,geocoding-backend.googleapis.com,False
Geolocation API,geolocation.googleapis.com,False
GKE Connect API,gkeconnect.googleapis.com,True
GKE Hub,gkehub.googleapis.com,True
Gmail API,gmail.googleapis.com,False
Google Ads API,googleads.googleapis.com,False
Cloud Messaging,googlecloudmessaging.googleapis.com,False
Groups Migration API,groupsmigration.googleapis.com,False
Groups Settings API,groupssettings.googleapis.com,False
Cloud Healthcare API,healthcare.googleapis.com,True
HomeGraph API,homegraph.googleapis.com,False
Identity and Access Management (IAM) API,iam.googleapis.com,True
IAM Service Account Credentials API,iamcredentials.googleapis.com,True
Cloud Identity-Aware Proxy API,iap.googleapis.com,True
Identity Toolkit API,identitytoolkit.googleapis.com,False
Indexing API,indexing.googleapis.com,False
Invoice,invoice.googleapis.com,False
Cloud Talent Solution API,jobs.googleapis.com,True
Knowledge Graph Search API,kgsearch.googleapis.com,False
Cloud Natural Language API,language.googleapis.com,True
Library Agent API,libraryagent.googleapis.com,True
Enterprise License Manager API,licensing.googleapis.com,False
Cloud Life Sciences API,lifesciences.googleapis.com,True
Cloud Logging API,logging.googleapis.com,True
Managed Service for Microsoft Active Directory API,managedidentities.googleapis.com,True
Manufacturer Center API,manufacturers.googleapis.com,False
Maps SDK for Android,maps-android-backend.googleapis.com,False
Maps JavaScript API,maps-backend.googleapis.com,False
Maps Embed API,maps-embed-backend.googleapis.com,False
Maps SDK for iOS,maps-ios-backend.googleapis.com,False
Media Translation API,mediatranslation.googleapis.com,True
Cloud Memorystore for Memcached API,memcache.googleapis.com,True
Anthos Service Mesh Certificate Authority API,meshca.googleapis.com,True
Mesh Configuration API,meshconfig.googleapis.com,True
Mesh Telemetry API,meshtelemetry.googleapis.com,True
G Suite Migrate API,migrate.googleapis.com,False
Mirror API,mirror.googleapis.com,False
AI Platform Training & Prediction API,ml.googleapis.com,True
ML Kit API,mlkit.googleapis.com,True
Mobile Crash Reporting API,mobilecrashreporting.googleapis.com,False
Cloud Monitoring API,monitoring.googleapis.com,True
Play Movies Anywhere API,moviesanywhere.googleapis.com,False
